flight_id,carrier,date,origin,dest,distance,sched_dep_time,sched_arr_time,dep_time,arr_time,dep_delay,arr_delay,cancelled
F100093,AI,2024-06-08,SEA,DEN,411,17:00,17:51,17:19,18:14,19.0,23.0,0
F100094,EK,2024-09-12,ATL,DEN,639,22:05,23:24,22:14,23:30,9.0,6.0,0
F100095,SW,2024-03-15,MSP,BWI,1068,12:45,14:58,13:09,15:43,24.0,45.0,0
F100096,BA,2024-09-16,EWR,LAS,257,08:00,08:40,09:00,09:19,60.0,39.0,0
F100097,EK,2024-10-02,DFW,DTW,908,15:10,17:03,15:32,17:30,22.0,27.0,0
F100098,SW,2024-07-15,SEA,SAN,626,07:20,08:38,07:22,08:38,2.0,-2.0,0
F100099,LH,2024-01-19,DFW,PHL,646,04:35,05:55,05:03,06:29,28.0,34.0,0
F100100,DL,2024-01-08,PHL,MSP,584,23:30,00:43,23:59,01:18,29.0,35.0,0
F100101,BA,2024-11-28,LAS,EWR,1487,02:10,05:15,02:33,05:30,23.0,15.0,0
F100102,EK,2024-11-12,IAH,LAX,663,02:45,04:07,03:11,04:42,,35.0,0
F100103,LH,2024-08-15,ATL,DFW,987,05:55,07:58,,,,,1
F100104,AF,2024-07-02,LAX,LAS,1070,11:20,13:33,11:59,14:07,39.0,34.0,0
F100105,UA,2024-11-08,DEN,ORD,1328,12:40,15:26,12:42,15:27,2.0,1.0,0
F100106,BA,2024-12-07,MSP,MIA,1659,00:25,03:52,00:53,04:32,28.0,40.0,0
F100107,AF,2024-11-23,BWI,BOS,1783,13:55,17:37,14:03,17:55,8.0,18.0,0
F100108,EK,2024-07-14,ATL,MIA,813,18:10,19:51,18:25,20:06,15.0,15.0,0
F100109,LH,2024-10-16,MIA,JFK,1058,21:55,00:07,22:17,00:21,22.0,14.0,0
F100110,BA,2024-04-22,SEA,CLT,2255,20:45,01:26,20:45,01:26,-18.0,-31.0,0
F100111,UA,2024-06-07,ATL,LAX,1694,14:00,17:31,14:27,18:07,27.0,36.0,0
F100112,LH,2024-03-08,DEN,SEA,1377,17:10,20:02,17:17,20:02,7.0,-2.0,0
F100113,EK,2024-02-28,BOS,PHX,1045,14:15,16:25,14:15,16:29,-10.0,4.0,0
F100114,LH,2024-02-16,IAH,PHX,911,12:00,13:53,12:00,13:53,-14.0,-16.0,0
F100115,BA,2024-11-22,BWI,CLT,1247,11:15,13:50,11:15,13:50,-7.0,-15.0,0
F100116,AF,2024-11-27,SAN,SEA,1146,02:50,05:13,03:03,05:22,13.0,9.0,0
F100117,UA,2024-06-04,LAX,ORD,717,15:15,16:44,15:28,16:44,13.0,-2.0,0
F100118,QF,2024-03-20,EWR,SAN,200,13:50,14:30,13:50,14:30,-11.0,-12.0,0
F100119,AA,2024-08-15,PHX,SFO,1186,14:45,17:13,15:29,18:09,44.0,56.0,0
F100120,AF,2024-05-21,LAX,EWR,904,06:15,08:08,06:22,08:08,7.0,-3.0,0
F100121,AI,2024-06-19,JFK,ORD,988,07:30,09:33,07:30,09:39,0.0,6.0,0
F100122,AI,2024-06-17,SFO,MIA,503,04:40,,05:00,,20.0,40.0,0
F100123,BA,2024-12-04,DEN,ATL,934,00:30,,00:47,,17.0,27.0,0
F100124,UA,2024-03-05,MIA,LAX,759,23:20,00:54,23:33,01:09,13.0,15.0,0
F100125,QF,2024-08-19,BWI,ATL,1058,16:45,18:57,16:45,18:57,-12.0,-10.0,0
F100126,QF,2024-11-25,BOS,DTW,1298,00:00,02:42,00:43,03:39,43.0,57.0,0
F100127,EK,2024-06-13,ORD,ATL,2291,19:30,00:16,19:30,00:16,-12.0,0.0,0
F100128,AF,2024-05-30,CLT,IAH,1110,14:35,16:53,15:37,17:47,62.0,54.0,0
F100129,QF,2024-08-19,SFO,MSP,496,07:20,08:22,07:20,08:22,-8.0,-31.0,0
F100130,LH,2024-07-10,LAS,MIA,684,04:50,06:15,04:50,06:15,-12.0,-8.0,0
F100131,DL,2024-10-11,PHX,DFW,1205,01:40,04:10,02:34,05:17,54.0,67.0,0
F100132,LH,2024-11-03,LAX,LAS,653,09:10,10:31,09:10,10:31,-15.0,-7.0,0
F100133,DL,2024-07-07,PHX,BWI,207,03:05,03:45,03:58,04:54,53.0,69.0,0
F100134,AI,2024-01-14,SAN,IAH,718,19:50,21:19,19:50,21:19,-36.0,-18.0,0
F100135,BA,2024-01-04,LAS,CLT,931,05:30,07:26,06:08,07:47,38.0,21.0,0
F100136,AA,2024-04-20,ORD,IAH,640,12:20,13:40,12:27,13:50,7.0,10.0,0
F100137,AI,2024-01-27,SAN,ORD,729,04:30,06:01,04:53,06:13,23.0,12.0,0
F100138,LH,2024-07-31,DTW,MSP,914,08:45,10:39,08:55,10:57,10.0,18.0,0
F100139,AI,2024-12-07,DTW,IAH,1426,09:00,11:58,09:00,11:58,-21.0,-37.0,0
F100140,SW,2024-05-28,DFW,BOS,1766,10:15,,10:30,,15.0,8.0,0
F100141,SW,2024-12-08,PHL,BWI,1930,11:15,15:16,11:25,15:42,10.0,26.0,0
F100142,DL,2024-08-07,LAS,SAN,1040,18:20,20:30,18:24,20:33,4.0,3.0,0
F100143,AF,2024-12-19,DEN,DTW,1582,11:15,14:32,11:38,15:13,23.0,41.0,0
F100144,DL,2024-06-22,CLT,BOS,421,07:10,08:02,07:34,08:41,24.0,39.0,0
F100145,SW,2024-11-26,PHX,CLT,200,04:45,05:25,04:45,05:25,-23.0,-45.0,0
F100146,DL,2024-08-25,DEN,PHL,838,18:40,20:24,19:05,21:09,25.0,45.0,0
F100147,AI,2024-03-18,LAS,PHX,1044,14:15,16:25,15:03,16:58,48.0,33.0,0
F100148,AF,2024-06-07,PHL,ORD,200,14:25,15:05,14:31,15:18,6.0,13.0,0
F100149,DL,2024-07-15,SAN,PHL,980,14:40,16:42,14:40,16:42,-45.0,-44.0,0
F100150,AI,2024-11-05,SFO,PHX,217,15:35,16:15,15:59,16:45,24.0,30.0,0
F100151,AF,2024-11-26,ORD,IAH,436,05:00,05:54,05:00,05:54,-6.0,-17.0,0
F100152,UA,2024-05-24,PHX,CLT,962,12:20,14:20,12:51,14:41,31.0,21.0,0
F100153,AF,2024-02-18,ORD,PHX,1302,17:50,20:32,17:50,20:32,-6.0,-14.0,0
F100154,AI,2024-02-11,DFW,PHX,935,18:50,20:46,18:50,20:46,-19.0,-24.0,0
F100155,LH,2024-06-07,DFW,ORD,281,17:20,18:00,18:16,18:58,56.0,58.0,0
F100156,QF,2024-09-17,ORD,MSP,580,11:00,12:12,11:12,12:25,12.0,13.0,0
F100157,EK,2024-03-11,SFO,MIA,867,04:15,06:03,04:37,06:36,22.0,33.0,0
F100158,QF,2024-11-12,LAX,PHX,681,04:40,06:05,04:40,06:05,-7.0,-8.0,0
F100159,UA,2024-07-29,MSP,LAX,200,11:50,12:30,11:50,12:30,-31.0,-13.0,0
F100160,EK,2024-05-02,SEA,BWI,1986,09:25,13:33,09:26,13:43,1.0,10.0,0
F100161,EK,2024-07-14,MSP,BOS,1186,16:35,19:03,17:59,20:42,84.0,99.0,0
F100162,BA,2024-07-09,LAX,PHL,923,17:15,19:10,17:15,19:10,-17.0,-34.0,0
F100163,UA,2024-09-19,MIA,DTW,1122,04:20,06:40,04:20,06:40,-12.0,-27.0,0
F100164,AA,2024-07-21,EWR,LAX,612,16:10,17:26,16:13,17:42,3.0,16.0,0
F100165,DL,2024-03-11,LAS,DFW,995,01:05,03:09,01:49,03:56,44.0,47.0,0
F100166,EK,2024-02-10,MSP,JFK,483,00:05,01:05,00:50,01:58,45.0,53.0,0
F100167,LH,2024-05-01,ATL,LAS,377,09:15,10:02,09:17,10:02,2.0,-7.0,0
F100168,DL,2024-01-09,DTW,BWI,200,20:35,21:15,20:40,21:15,5.0,-10.0,0
F100169,AF,2024-08-01,SEA,SAN,1337,05:50,08:37,05:50,08:37,-9.0,-13.0,0
F100170,QF,2024-10-10,PHL,IAH,644,00:20,01:40,00:20,01:40,-15.0,-12.0,0
F100171,AA,2024-06-25,PHX,ORD,501,07:55,08:57,08:09,09:12,14.0,15.0,0
F100172,UA,2024-10-06,LAX,CLT,856,10:50,12:37,10:50,12:37,-16.0,-21.0,0
F100173,UA,2024-08-22,DFW,ORD,1453,01:05,04:06,01:25,04:16,20.0,10.0,0
F100174,BA,2024-10-05,PHL,CLT,1059,15:05,17:17,15:31,17:25,26.0,8.0,0
F100175,AA,2024-03-04,LAS,MIA,1326,11:20,14:05,11:20,14:05,-10.0,-1.0,0
F100176,UA,2024-07-07,DTW,PHL,542,16:05,17:12,16:05,17:12,-38.0,-56.0,0
F100177,UA,2024-06-13,IAH,BOS,1028,03:15,05:23,03:28,05:27,13.0,4.0,0
F100178,UA,2024-08-16,MSP,PHX,1383,01:55,04:47,01:55,04:47,-35.0,-34.0,0
F100179,AA,2024-07-05,ORD,EWR,273,16:55,17:35,16:55,17:35,-9.0,-6.0,0
F100180,EK,2024-02-04,LAX,DEN,483,07:50,08:50,07:50,09:01,-3.0,11.0,0
F100181,EK,2024-08-15,PHX,CLT,653,02:40,04:01,03:08,04:17,28.0,16.0,0
F100182,DL,2024-09-12,JFK,SFO,1317,16:20,19:04,17:03,19:19,43.0,15.0,0
F100183,SW,2024-12-21,SAN,BOS,521,15:45,16:50,16:06,17:11,21.0,21.0,0
F100184,EK,2024-12-07,ORD,PHX,1222,11:55,14:27,11:55,14:27,-8.0,-5.0,0
F100185,UA,2024-04-24,PHX,IAH,906,03:45,05:38,04:21,06:19,36.0,41.0,0
F100186,AI,2024-10-09,PHX,DTW,1202,04:40,07:10,04:40,07:10,-3.0,-7.0,0
F100187,EK,2024-07-28,PHL,EWR,740,18:15,19:47,18:32,20:01,17.0,14.0,0
F100188,QF,2024-10-09,PHX,DFW,1173,20:40,23:06,21:39,00:17,59.0,71.0,0
F100189,AA,2024-03-19,ATL,IAH,804,09:30,11:10,10:07,11:44,37.0,34.0,0
F100190,QF,2024-05-08,BOS,ORD,200,06:50,07:30,06:50,07:30,-18.0,-38.0,0
F100191,DL,2024-10-30,PHL,DEN,789,18:30,20:08,18:37,20:37,7.0,29.0,0
F100192,AI,2024-02-11,LAX,JFK,1196,01:50,04:19,01:52,04:33,2.0,14.0,0
F100193,AI,2024-11-17,JFK,PHL,200,17:05,17:45,17:18,18:09,13.0,24.0,0
F100194,LH,2024-02-07,BOS,DTW,200,22:00,22:40,22:36,23:22,36.0,42.0,0
F100195,UA,2024-06-25,LAS,PHX,750,12:30,14:03,12:53,14:55,23.0,52.0,0
F100196,DL,2024-05-06,MIA,DTW,1109,04:15,06:33,04:28,06:42,13.0,9.0,0
F100197,UA,2024-06-09,LAS,SAN,490,06:30,07:31,06:58,07:51,28.0,20.0,0
F100198,AA,2024-09-15,ORD,EWR,1042,14:45,16:55,14:45,16:58,-5.0,3.0,0
F100199,EK,2024-01-05,BOS,BWI,1200,03:20,05:50,03:53,06:19,33.0,29.0,0
F100200,AA,2024-10-18,CLT,LAX,838,17:45,19:29,17:45,19:29,-17.0,-20.0,0
F100201,QF,2024-03-06,MIA,ATL,1226,03:20,05:53,03:46,06:10,26.0,17.0,0
F100202,UA,2024-07-24,SFO,IAH,1521,16:00,19:10,16:41,19:58,41.0,48.0,0
F100203,EK,2024-03-12,DFW,IAH,2126,10:40,15:05,10:40,15:05,-12.0,-25.0,0
F100204,AI,2024-09-17,LAS,IAH,200,17:25,18:05,18:09,18:59,44.0,54.0,0
F100205,DL,2024-06-06,EWR,SAN,966,23:55,01:55,00:09,01:57,14.0,2.0,0
F100206,AI,2024-01-27,BWI,SEA,2467,18:25,23:33,18:35,23:46,10.0,13.0,0
F100207,UA,2024-10-20,SEA,LAX,1435,22:15,01:14,22:34,01:38,19.0,24.0,0
F100208,SW,2024-11-09,EWR,IAH,525,15:55,17:00,16:14,17:44,19.0,44.0,0
F100209,EK,2024-06-09,PHL,CLT,1807,05:25,09:10,06:12,09:53,47.0,43.0,0
F100210,BA,2024-04-08,SAN,DTW,406,07:05,07:55,07:09,08:02,4.0,7.0,0
F100211,BA,2024-06-11,SFO,PHL,1656,15:10,18:37,15:10,18:37,-35.0,-15.0,0
F100212,AI,2024-07-21,IAH,CLT,905,11:30,13:23,11:30,13:23,-4.0,-14.0,0
F100213,EK,2024-04-19,MIA,PHL,200,06:35,07:15,07:03,07:46,28.0,31.0,0
F100214,AI,2024-01-26,SEA,MIA,226,21:35,22:15,21:35,22:15,-25.0,-27.0,0
F100215,EK,2024-01-03,ATL,DEN,2001,17:30,21:40,17:31,21:40,1.0,-15.0,0
F100216,SW,2024-05-26,BOS,PHX,852,20:00,21:46,20:00,21:46,0.0,-30.0,0
F100217,AA,2024-03-31,DEN,MSP,967,01:20,03:20,01:21,03:31,1.0,11.0,0
F100218,BA,2024-06-01,LAX,JFK,2109,18:40,23:03,19:15,23:37,35.0,34.0,0
F100219,QF,2024-03-09,PHL,DTW,336,16:25,17:07,17:36,18:21,71.0,74.0,0
F100220,BA,2024-06-21,DEN,JFK,1008,09:40,11:46,09:46,11:56,6.0,10.0,0
F100221,LH,2024-06-16,EWR,IAH,913,02:20,04:14,02:20,04:14,-7.0,-12.0,0
F100222,SW,2024-07-15,JFK,BOS,980,07:25,09:27,07:25,09:27,-7.0,-14.0,0
F100223,AA,2024-12-20,MIA,CLT,1063,07:00,09:12,07:01,09:33,1.0,21.0,0
F100224,BA,2024-07-07,ATL,LAS,200,19:45,20:25,20:19,21:16,34.0,51.0,0
F100225,AI,2024-12-25,PHX,MSP,200,17:25,18:05,17:25,18:05,-2.0,-4.0,0
F100226,AI,2024-08-16,ORD,IAH,200,16:55,17:35,16:55,17:35,-12.0,-23.0,0
F100227,QF,2024-10-01,SFO,SAN,2051,04:30,08:46,05:00,09:33,30.0,47.0,0
F100228,AI,2024-09-18,DTW,ORD,1433,14:00,16:59,14:00,16:59,-14.0,-6.0,0
F100229,EK,2024-07-21,BOS,JFK,266,08:00,08:40,08:25,09:04,25.0,24.0,0
F100230,DL,2024-02-05,IAH,LAX,775,15:00,16:36,15:25,17:08,25.0,32.0,0
F100231,LH,2024-08-17,PHX,EWR,783,12:20,13:57,12:56,14:22,36.0,25.0,0
F100232,AF,2024-10-02,ATL,SFO,1369,12:35,15:26,12:57,15:46,22.0,20.0,0
F100233,BA,2024-08-05,MSP,BWI,1195,17:20,19:49,17:20,19:49,-24.0,-11.0,0
F100234,DL,2024-11-10,LAX,MSP,889,00:45,02:36,00:45,02:45,-6.0,9.0,0
F100235,AA,2024-07-24,SEA,LAX,577,14:45,15:57,14:45,15:57,-28.0,-45.0,0
F100236,BA,2024-06-12,SEA,SAN,1363,18:40,21:30,18:40,21:30,-25.0,-2.0,0
F100237,QF,2024-06-02,SEA,MSP,200,08:00,08:40,08:49,09:34,49.0,54.0,0
F100238,LH,2024-01-25,IAH,DTW,941,11:50,13:47,11:50,13:47,-7.0,0.0,0
F100239,UA,2024-04-04,BOS,EWR,977,17:25,19:27,18:00,20:05,35.0,38.0,0
F100240,EK,2024-07-30,LAX,BWI,1090,13:35,15:51,13:35,15:51,-2.0,-1.0,0
F100241,DL,2024-02-17,MSP,PHX,1184,17:55,20:23,17:55,20:23,-36.0,-50.0,0
F100242,AA,2024-10-27,ORD,SEA,1445,23:50,02:50,00:01,03:01,11.0,11.0,0
F100243,AA,2024-03-01,SFO,SEA,1011,23:25,01:31,23:41,01:43,16.0,12.0,0
F100244,SW,2024-05-24,IAH,LAS,533,12:25,13:31,12:37,13:33,12.0,2.0,0
F100245,EK,2024-08-28,MSP,ATL,1244,10:45,13:20,10:45,13:20,-36.0,-22.0,0
F100246,UA,2024-10-10,JFK,BOS,1283,18:40,21:20,18:53,21:47,13.0,27.0,0
F100247,AI,2024-10-08,SEA,PHL,1999,20:50,00:59,21:22,01:11,32.0,12.0,0
F100248,EK,2024-06-29,MSP,DEN,232,05:30,06:10,05:30,06:10,-9.0,-7.0,0
F100249,AA,2024-02-08,PHL,LAX,1310,21:00,23:43,21:00,23:43,-11.0,-7.0,0
F100250,UA,2024-09-15,JFK,SEA,546,14:10,15:18,14:10,15:18,-8.0,-23.0,0
F100251,EK,2024-09-29,JFK,LAX,446,17:20,,17:20,,-27.0,-37.0,0
F100252,AA,2024-04-01,PHL,EWR,1632,03:15,06:39,03:15,06:56,-17.0,17.0,0
F100253,AF,2024-02-10,MIA,EWR,1295,11:20,14:01,11:32,14:05,12.0,4.0,0
F100254,DL,2024-07-26,LAX,ATL,1420,12:20,15:17,14:13,17:13,113.0,116.0,0
F100255,EK,2024-10-16,EWR,LAS,200,03:35,04:15,04:07,04:45,32.0,30.0,0
F100256,AI,2024-01-24,DTW,MIA,1145,02:50,05:13,02:50,05:26,-13.0,13.0,0
F100257,AF,2024-10-27,JFK,SEA,971,04:55,06:56,04:55,06:56,-32.0,-35.0,0
F100258,AI,2024-06-18,CLT,BWI,1299,12:55,15:37,13:15,15:46,20.0,9.0,0
F100259,AF,2024-08-11,LAX,DFW,1557,07:15,10:29,07:15,10:29,-37.0,-21.0,0
F100260,AF,2024-08-18,JFK,BOS,208,15:45,16:25,15:46,16:41,1.0,16.0,0
F100261,LH,2024-05-06,ORD,LAS,1071,22:15,00:28,22:42,01:04,27.0,36.0,0
F100262,LH,2024-02-24,LAS,CLT,1771,02:00,05:41,02:34,06:12,34.0,31.0,0
F100263,DL,2024-08-17,DEN,MSP,1379,17:35,20:27,17:35,20:27,-31.0,-30.0,0
F100264,AI,2024-07-16,SAN,LAS,1491,00:05,03:11,00:15,03:28,10.0,17.0,0
F100265,SW,2024-03-27,BWI,PHL,872,21:20,23:09,21:55,23:45,35.0,36.0,0
F100266,UA,2024-08-03,EWR,MIA,720,09:25,10:55,09:54,11:09,29.0,14.0,0
F100267,EK,2024-08-22,SAN,SFO,1300,03:30,06:12,03:30,06:12,-19.0,-2.0,0
F100268,AF,2024-08-08,MSP,LAS,843,20:40,22:25,20:50,22:42,10.0,17.0,0
F100269,AF,2024-06-12,DEN,EWR,200,09:55,10:35,09:55,10:41,-9.0,6.0,0
F100270,LH,2024-07-05,MIA,EWR,1520,03:40,06:50,03:54,06:50,14.0,0.0,0
F100271,AA,2024-08-12,MSP,SFO,1351,09:55,12:43,10:20,13:11,25.0,28.0,0
