airline,origin,dest,distance,dep_delay,arr_delay,date
JetBlue,ATL,SFO,1307,128,136,2023-03-12
American,ATL,JFK,306,103,88,2023-01-05
AirIndia,DFW,LAS,579,89,75,2023-03-01
American,LAS,DEN,465,152,140,2023-03-18
JetBlue,LAX,LAS,1034,46,52,2023-02-23
Southwest,JFK,ORD,1184,81,76,2023-01-18
AirIndia,ATL,SFO,2172,104,90,2023-01-23
JetBlue,SFO,LAX,524,132,128,2023-01-06
JetBlue,MIA,LAS,1268,40,50,2023-03-28
Delta,MIA,ORD,449,14,30,2023-03-31
JetBlue,DFW,SEA,1561,15,3,2023-03-18
Delta,MIA,ORD,673,87,81,2023-02-07
AirIndia,LAX,MIA,1036,72,69,2023-01-16
American,JFK,MIA,2190,78,94,2023-02-03
JetBlue,DEN,ATL,1859,81,85,2023-01-22
JetBlue,DEN,ATL,1827,65,54,2023-03-27
American,ATL,JFK,494,100,85,2023-02-28
JetBlue,MIA,JFK,1900,29,39,2023-03-10
JetBlue,ORD,SFO,305,82,88,2023-01-30
American,LAS,ATL,754,5,23,2023-01-25
United,SEA,JFK,1643,76,79,2023-01-31
AirIndia,SFO,LAX,539,138,135,2023-02-20
AirIndia,MIA,SFO,1944,93,93,2023-02-27
United,SFO,ATL,1624,160,165,2023-03-30
JetBlue,MIA,SEA,720,167,154,2023-03-03
Delta,MIA,LAS,825,86,83,2023-04-01
United,LAS,ORD,1831,24,15,2023-02-09
JetBlue,JFK,DFW,1424,52,41,2023-01-27
Southwest,SEA,LAX,1520,-6,7,2023-01-12
Southwest,MIA,SEA,336,128,144,2023-03-23
AirIndia,LAS,ORD,761,72,59,2023-01-29
AirIndia,DEN,SFO,2472,39,46,2023-03-30
Delta,JFK,SFO,2238,77,65,2023-02-08
United,LAX,DFW,2254,118,116,2023-01-07
JetBlue,JFK,ORD,2011,-6,13,2023-02-14
United,LAX,LAS,1702,155,163,2023-01-14
AirIndia,LAS,SFO,832,-9,-23,2023-03-22
AirIndia,ATL,ORD,1526,37,56,2023-03-15
American,MIA,SEA,710,-10,-2,2023-03-02
United,LAX,MIA,1799,174,159,2023-02-14
United,LAX,LAS,2283,117,112,2023-01-09
JetBlue,MIA,SFO,943,70,77,2023-03-13
Southwest,ATL,ORD,1398,168,157,2023-03-09
JetBlue,SFO,LAX,559,135,139,2023-03-29
Delta,LAX,DEN,1504,96,98,2023-03-31
JetBlue,DEN,MIA,288,144,163,2023-02-21
United,LAX,DFW,869,1,-6,2023-01-02
JetBlue,JFK,ORD,1154,103,120,2023-01-26
Southwest,SEA,SFO,392,118,131,2023-01-25
AirIndia,DEN,SEA,2002,33,47,2023-02-27
United,ORD,DEN,1982,97,91,2023-03-03
Southwest,LAS,DEN,2266,175,180,2023-03-20
Southwest,LAX,ORD,849,16,32,2023-01-20
United,JFK,SFO,1671,112,118,2023-03-07
AirIndia,DFW,ORD,570,45,48,2023-03-01
Delta,DFW,MIA,615,169,188,2023-01-03
JetBlue,LAX,DFW,1100,83,80,2023-03-01
Delta,ATL,LAX,2417,30,37,2023-02-23
Southwest,LAS,ATL,1934,114,106,2023-02-06
United,DEN,LAX,1357,107,114,2023-02-02
United,DEN,ATL,1064,15,25,2023-02-11
JetBlue,ATL,LAS,2354,153,138,2023-03-27
American,DEN,ORD,1275,12,10,2023-01-18
Delta,SEA,MIA,1152,56,58,2023-03-30
AirIndia,JFK,SFO,688,60,73,2023-03-24
United,SEA,ORD,236,134,137,2023-01-07
JetBlue,ORD,MIA,1132,68,82,2023-02-08
Delta,LAS,MIA,420,36,53,2023-03-21
AirIndia,ATL,LAS,318,52,54,2023-02-04
Southwest,SEA,JFK,266,85,92,2023-02-01
AirIndia,SFO,ATL,1351,35,24,2023-03-02
American,ORD,SEA,822,129,145,2023-02-06
JetBlue,ORD,LAS,746,151,160,2023-03-17
American,ATL,DFW,2490,163,171,2023-02-14
United,LAX,ATL,1361,89,88,2023-02-10
AirIndia,ORD,DEN,2428,101,118,2023-03-30
JetBlue,LAX,MIA,742,7,-2,2023-03-17
Southwest,LAS,DFW,710,-1,-12,2023-04-01
JetBlue,JFK,LAS,2410,50,66,2023-01-04
JetBlue,LAS,LAX,1569,65,73,2023-02-26
Southwest,ORD,LAX,1681,165,175,2023-01-15
United,SFO,ORD,1299,52,69,2023-01-10
United,LAX,DEN,869,52,56,2023-02-22
Delta,ATL,LAS,511,135,149,2023-03-13
United,LAS,DFW,1185,103,108,2023-03-05
JetBlue,LAX,SFO,1998,19,8,2023-03-04
United,DEN,LAS,594,60,68,2023-03-06
Southwest,ATL,SEA,1259,-8,-21,2023-02-27
AirIndia,SEA,DEN,1969,87,103,2023-01-01
Southwest,LAX,JFK,2062,124,116,2023-01-19
Southwest,DFW,JFK,1076,136,136,2023-01-02
Southwest,SFO,JFK,594,154,174,2023-02-02
Delta,DFW,LAS,476,109,98,2023-03-15
American,ORD,LAX,2155,97,113,2023-01-24
Southwest,SEA,DEN,1806,87,81,2023-01-26
AirIndia,ORD,ATL,2368,47,54,2023-03-16
American,LAS,DFW,885,21,18,2023-02-05
JetBlue,MIA,SFO,1035,116,112,2023-01-30
JetBlue,DFW,LAS,1791,55,64,2023-01-21
Southwest,LAX,ORD,275,17,32,2023-01-11
Southwest,ATL,JFK,2412,19,9,2023-04-01
Southwest,LAS,LAX,1710,180,200,2023-02-25
AirIndia,SFO,DFW,2319,72,71,2023-02-16
United,JFK,ORD,462,59,77,2023-03-11
Delta,LAX,JFK,1213,163,175,2023-03-06
JetBlue,JFK,ORD,2335,15,0,2023-03-16
Southwest,LAS,SFO,1211,28,42,2023-01-04
AirIndia,LAS,ATL,469,144,163,2023-02-04
Delta,SEA,SFO,2079,143,135,2023-02-03
AirIndia,MIA,ATL,2103,115,124,2023-03-11
Southwest,LAX,DFW,966,165,183,2023-01-24
Delta,SEA,ORD,1608,152,172,2023-01-17
United,DFW,LAX,686,-8,-17,2023-03-09
United,DFW,DEN,549,87,95,2023-01-19
Southwest,DEN,SEA,824,82,78,2023-01-13
JetBlue,SFO,ATL,1303,104,117,2023-01-27
JetBlue,ATL,ORD,1234,47,47,2023-03-27
AirIndia,MIA,LAS,963,75,83,2023-03-05
AirIndia,ATL,MIA,1855,146,132,2023-01-27
AirIndia,LAX,SEA,2232,31,45,2023-02-19
American,LAS,MIA,856,168,157,2023-02-23
American,LAS,SEA,1453,81,94,2023-01-15
AirIndia,SFO,SEA,1797,134,130,2023-01-24
AirIndia,LAX,JFK,454,17,19,2023-01-30
JetBlue,MIA,DFW,2167,147,160,2023-03-14
Delta,JFK,LAS,1703,109,95,2023-02-22
Southwest,LAS,LAX,824,66,82,2023-03-29
AirIndia,DFW,ORD,259,99,100,2023-02-21
Delta,SFO,JFK,1662,113,120,2023-03-19
American,DEN,MIA,314,67,54,2023-03-10
JetBlue,SEA,ORD,229,9,-1,2023-02-10
Delta,MIA,JFK,373,70,61,2023-01-19
JetBlue,JFK,DFW,2077,140,150,2023-01-23
American,SFO,MIA,1197,-10,-11,2023-03-22
JetBlue,LAS,MIA,1430,101,94,2023-01-21
United,JFK,ATL,2152,90,105,2023-01-22
JetBlue,LAX,SEA,848,97,91,2023-01-26
Southwest,MIA,SEA,2065,133,131,2023-03-09
Southwest,ATL,DEN,1499,86,91,2023-02-09
AirIndia,SFO,LAS,1243,125,111,2023-03-10
Southwest,ATL,SEA,266,141,148,2023-02-11
AirIndia,SFO,DEN,790,51,47,2023-02-09
Delta,ATL,SFO,1112,24,31,2023-04-01
Southwest,SEA,SFO,1325,89,97,2023-03-12
Southwest,DFW,SFO,1592,31,32,2023-01-21
AirIndia,LAX,SEA,1770,153,150,2023-01-27
Delta,DFW,LAX,1693,98,108,2023-02-02
American,JFK,LAX,1479,34,47,2023-02-09
AirIndia,JFK,DFW,200,30,24,2023-02-11
JetBlue,MIA,JFK,832,22,42,2023-03-21
United,SEA,ORD,2164,65,52,2023-03-31
Delta,LAS,DFW,667,112,130,2023-01-28
Southwest,JFK,DFW,2063,55,45,2023-02-16
JetBlue,SEA,JFK,1152,163,172,2023-01-20
AirIndia,LAS,SFO,930,60,53,2023-02-05
Delta,ATL,LAX,673,42,56,2023-01-10
American,LAS,SFO,683,12,18,2023-02-14
Delta,ATL,DEN,389,-9,-9,2023-01-17
Southwest,ATL,SEA,312,51,59,2023-03-20
Delta,ATL,LAS,1291,67,63,2023-02-12
JetBlue,LAX,ATL,1453,80,86,2023-03-16
United,LAS,DEN,2025,76,94,2023-03-01
Delta,ATL,SEA,1353,96,109,2023-02-20
AirIndia,DEN,LAS,926,130,132,2023-02-12
AirIndia,ORD,ATL,1154,79,64,2023-01-14
JetBlue,SFO,JFK,2342,71,65,2023-01-31
AirIndia,DFW,JFK,1445,129,137,2023-02-07
Delta,JFK,LAX,1273,60,80,2023-01-11
Delta,SFO,DEN,2209,129,116,2023-02-01
AirIndia,ORD,DFW,722,20,35,2023-01-30
Southwest,JFK,MIA,2110,59,50,2023-02-17
Southwest,MIA,LAX,1143,179,178,2023-03-30
JetBlue,LAX,SEA,1477,78,81,2023-02-03
AirIndia,ORD,MIA,1491,102,91,2023-02-10
AirIndia,LAX,ORD,1889,6,-4,2023-03-23
Southwest,LAX,DFW,2337,36,34,2023-02-01
United,MIA,ATL,2331,177,195,2023-02-13
JetBlue,DEN,ATL,498,122,124,2023-03-05
United,DEN,SFO,1116,63,81,2023-01-30
AirIndia,MIA,ATL,2054,167,167,2023-03-29
American,SEA,LAX,1859,6,6,2023-01-29
JetBlue,ORD,LAS,1549,5,18,2023-03-30
Southwest,MIA,LAX,1609,60,60,2023-02-02
JetBlue,JFK,ORD,642,59,62,2023-02-10
American,LAX,SEA,311,4,19,2023-02-22
AirIndia,JFK,DFW,1770,38,41,2023-03-15
Southwest,DFW,SEA,2187,76,77,2023-01-21
AirIndia,ORD,DEN,1068,93,83,2023-02-27
American,ATL,DFW,1588,114,118,2023-03-03
United,SFO,LAX,545,179,187,2023-03-08
AirIndia,ORD,LAX,1142,42,59,2023-01-06
American,ATL,LAX,846,41,53,2023-03-11
Southwest,JFK,LAS,1631,-6,-6,2023-01-19
JetBlue,ATL,DEN,1484,91,91,2023-03-16
JetBlue,LAS,LAX,2264,121,113,2023-01-01
Southwest,DFW,SFO,1628,26,11,2023-03-03
Delta,JFK,LAX,2126,96,92,2023-02-09
Southwest,ATL,LAS,1950,21,35,2023-01-07
JetBlue,LAS,ATL,1190,122,127,2023-01-27
Southwest,DEN,SEA,976,116,106,2023-01-16
United,DEN,SEA,2212,-4,-5,2023-02-08
United,JFK,MIA,2457,56,43,2023-03-16
American,DEN,ATL,2479,112,116,2023-02-25
Southwest,DEN,SFO,872,-2,5,2023-03-05
AirIndia,SFO,LAS,275,49,67,2023-02-07
United,SEA,ORD,2196,88,77,2023-03-18
AirIndia,ORD,DEN,2468,118,114,2023-01-14
JetBlue,JFK,DEN,986,123,121,2023-01-29
Southwest,LAS,DEN,2310,7,27,2023-02-16
United,DEN,JFK,1922,57,71,2023-01-11
American,ATL,DFW,1320,125,112,2023-03-03
Delta,DFW,LAS,1189,63,70,2023-01-01
Southwest,ORD,ATL,1694,151,157,2023-01-12
United,DFW,LAX,1860,84,78,2023-04-01
AirIndia,SEA,SFO,676,74,64,2023-03-16
Delta,DFW,LAX,976,83,97,2023-02-26
American,DFW,MIA,2430,31,39,2023-01-11
American,JFK,LAX,1680,108,127,2023-03-30
Southwest,DEN,ATL,2146,25,17,2023-01-03
Delta,LAS,MIA,877,84,100,2023-03-08
JetBlue,SFO,SEA,2469,42,51,2023-01-17
Delta,SEA,ATL,1806,139,126,2023-03-27
Southwest,ATL,DEN,942,134,122,2023-03-24
American,LAS,ATL,715,139,145,2023-01-22
Delta,SEA,ORD,2338,131,144,2023-01-09
Delta,DEN,ATL,1923,156,149,2023-02-01
Southwest,DFW,LAX,365,34,54,2023-01-02
AirIndia,JFK,SEA,295,118,126,2023-03-09
Southwest,ORD,DFW,2397,69,72,2023-03-23
AirIndia,SFO,DEN,1382,9,0,2023-03-06
JetBlue,MIA,LAS,1428,144,136,2023-03-28
United,JFK,LAS,910,122,132,2023-01-11
Delta,LAX,JFK,1853,70,73,2023-02-23
JetBlue,SFO,MIA,384,92,94,2023-03-01
American,LAS,ATL,361,93,93,2023-02-19
United,LAX,DEN,2120,-4,-13,2023-02-21
Southwest,MIA,DFW,1487,-5,-1,2023-03-28
Delta,MIA,DFW,780,124,110,2023-02-28
Southwest,ATL,SFO,824,168,179,2023-01-08
American,ORD,MIA,303,58,48,2023-03-08
Delta,DFW,ATL,1946,179,176,2023-01-02
AirIndia,JFK,DEN,2141,146,163,2023-02-16
Delta,DEN,SFO,998,87,83,2023-03-17
JetBlue,LAS,DFW,259,60,50,2023-03-04
JetBlue,LAS,JFK,1109,166,151,2023-01-25
Southwest,JFK,DEN,1355,94,84,2023-04-01
AirIndia,SEA,DEN,2133,102,102,2023-01-20
United,MIA,DFW,601,67,79,2023-03-30
JetBlue,SEA,MIA,996,166,168,2023-01-29
American,JFK,DEN,2075,131,118,2023-02-18
United,DFW,ATL,1296,29,24,2023-01-28
Delta,SEA,MIA,2005,108,119,2023-01-14
American,DEN,MIA,2292,177,166,2023-02-14
United,LAS,JFK,2162,146,136,2023-02-21
Delta,DFW,LAX,536,155,160,2023-01-12
United,MIA,DEN,475,40,40,2023-01-30
American,JFK,MIA,1606,-3,11,2023-02-28
AirIndia,ORD,SEA,2406,97,110,2023-02-12
American,JFK,SEA,1093,136,140,2023-02-18
AirIndia,ATL,LAX,2407,38,25,2023-03-01
Southwest,LAX,LAS,1526,164,156,2023-01-26
Southwest,MIA,LAS,2367,136,152,2023-03-31
Southwest,JFK,SEA,960,139,149,2023-01-23
American,DFW,DEN,1405,118,118,2023-03-08
United,SFO,MIA,613,176,164,2023-02-11
Southwest,DEN,DFW,1664,171,162,2023-03-06
Delta,SEA,LAS,456,118,135,2023-01-30
Southwest,LAX,SEA,635,69,74,2023-01-22
Southwest,ORD,MIA,703,78,66,2023-02-02
American,LAS,LAX,1050,145,157,2023-01-24
United,DFW,MIA,451,126,145,2023-01-20
United,SEA,MIA,1481,111,131,2023-03-04
AirIndia,SEA,DFW,1550,-6,-3,2023-03-24
AirIndia,LAS,SEA,1771,155,147,2023-02-26
AirIndia,ATL,SEA,2279,127,118,2023-02-28
Southwest,SEA,DFW,827,157,146,2023-03-09
AirIndia,LAS,JFK,393,-7,-14,2023-03-28
American,SFO,ORD,882,155,142,2023-03-16
American,LAX,SFO,285,6,-6,2023-03-20
United,SFO,DEN,226,92,78,2023-01-10
American,SEA,ATL,1439,39,52,2023-01-23
Southwest,MIA,JFK,693,137,134,2023-02-01
JetBlue,ORD,DFW,2317,31,45,2023-01-08
American,JFK,DEN,747,11,7,2023-04-01
American,MIA,SEA,1147,173,176,2023-02-14
JetBlue,SFO,MIA,1258,47,39,2023-01-19
United,DFW,DEN,1509,160,179,2023-02-27
United,MIA,ORD,716,162,157,2023-03-19
American,DFW,DEN,1299,88,90,2023-01-10
Southwest,ATL,DFW,2252,50,58,2023-03-10
Delta,SEA,ORD,1778,140,158,2023-01-30
American,MIA,SFO,1759,176,187,2023-02-07
JetBlue,SFO,LAS,567,142,144,2023-03-11
Delta,LAS,SEA,2145,1,-8,2023-01-05
JetBlue,LAX,SFO,1157,140,160,2023-03-09
United,DEN,JFK,1854,127,117,2023-03-09
AirIndia,LAX,ORD,920,136,140,2023-02-02
